material_id,backend_higg,,,,,,,,
tex_acet_0,"Acetate, Triacetate fabric","acetate,\s?triacetate\s?fabric",\sacetate\s,"acetate\s?-?,?(,\s)?triacetate",triacetate,,,,
tex_acry_1,Acrylic fabric,"acrylic\s?-?,?(,\s)?fabric",acrylic,,,,,,
tex_alpa_2,Alpaca Fabric,"alpaca\s?-?,?(,\s)?fabric",alpaca,abaca,,,,,
tex_aram_3,Aramid fabric,"aramid\s?-?,?(,\s)?fabric",aramid,,,,,,
tex_carb_4,Carbon fiber fabric,"carbon\s?-?,?\s?fiber,?\s?-?fabric",\scarbon\s,"carbon\s?-?,?(,\s)?fiber",,,,,
tex_cell_5,"Cellulosic Fiber, Naia {Eastman}","cellulosic\s?-?fiber,\s?naia\s?\{eastman\}","naia\s?-?cellulosic\s?-?,?\s?fiber",,,,,,
tex_cott_6,Cotton fabric,"cotton\s?-?,?\s?fabric",cotton,poplin,tabinet,denim,,,
tex_cott_7,"Cotton fiber, organic","cotton\s?-?fiber,\s?organic","organic\s?-?,?\s?cotton","organic\s?-?,?\s?poplin","organic\s?-?,?\s?stabinet","cotton\s?-?,?\s?\(organic\)","\(organic\)\s?-?,?\s?cotton","cotton\s?-?,?\s?organic",organic cotton
tex_cott_8,"Cotton fiber, recycled","cotton\s?-?fiber,\s?recycled","recycled\s?-?,?\s?cotton","upcycled\s?-?,?\s?cotton",post\s?consumer\s?cotton,"deadstock\s?-?,?\s?cotton",,,
tex_elas_9,Elastane/Spandex {Hyosung} Creora® bio-based,elastane ?\/ ?spandex\s?\{hyosung\}\s?creora\®\s?bio-based,creora\s?\(bio-based\s?elastane ?\/ ?spandex\),,,,,,
tex_elas_10,Elastane/Spandex/Lycra fabric,elastane ?\/ ?spandex ?\/ ?lycra\s?fabric,elastane,spandex,lycra,elastane ?\/ ?spandex,elastane\s?-?spandex,elastodiene,
tex_flax_11,Flax fiber fabric,"flax\s?-?,?\s?fiber,?\s?-?fabric",flax,linen,,,,,
tex_hemp_12,Hemp fiber fabric,"hemp\s?-?,?\s?fiber,?\s?-?fabric",hemp,,,,,,
tex_agra_13,Agraloop BioFibre (cottonized) {Circular Systems},agraloop\s?biofibre\s?\(cottonized\)\s?\{circular\s?systems\},agraloop\s?biofibre‚\s?Ñ?¢?,agraloop\s?-?biofibre,,,,,
tex_jute_14,Jute fiber fabric,"jute\s?-?,?\s?fiber,?\s?-?fabric",jute,,,,,,
tex_lyoc_15,Lyocell fabric,lyocell\s?-?fabric,lyocell,,,,,,
tex_tenc_16,Tencel™ Lyocell fabric {Lenzing},tencel™\s?lyocell\s?fabric\s?\{lenzing\},tencel‚\s?Ñ?¢?\s?lyocell,tencel lenzing,lenzing tencel,,,,
tex_moda_17,Modal fabric,modal\s?-?fabric,modal,,,,,,
tex_tenc_18,Tencel™ Modal {Lenzing}Tencel,tencel™\s?modal\s?\{lenzing\}\s?tencel,tencel‚\s?Ñ?¢?\s?modal,,,,,,
tex_liva_19,Livaeco™ Modal Fibre {BIRLA},livaeco™\s?modal\s?fibre\s?\{birla\},livaeco‚\s?Ñ?¢?\s?modal,,,,,,
tex_nylo_20,Nylon fabric,"nylo\s?-?,?\s?fabric",polyamide ?\/ ?nylon,nylon,polyamide,,,,
