,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
0,Nimu | Agrippa Kimono Bathrobe Shell,{'cotton': '100%'},,"('EUR', '200.00')",https://allsisters.com/products/nimu-agrippa-kimono-bathrobe-shell,['https://cdn.shopify.com/s/files/1/0827/0589/products/800310001232.jpg?v=1615482351'],NIMU,"['Agrippa bathrobe comes in a modern and chic Kimono structure. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
1,Nimu | Agrippa Kimono Bathrobe Stone,{'cotton': '100%'},,"('EUR', '200.00')",https://allsisters.com/products/nimu-agrippa-kimono-bathrobe-stone,['https://cdn.shopify.com/s/files/1/0827/0589/products/800310009451.jpg?v=1615482495'],NIMU,"['Agrippa bathrobe comes in a modern and chic Kimono structure. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
2,Nimu | Agrippa Kimono Bathrobe White,{'cotton': '100%'},['white'],"('EUR', '200.00')",https://allsisters.com/products/nimu-agrippa-kimono-bathrobe-white,['https://cdn.shopify.com/s/files/1/0827/0589/products/800310001003.jpg?v=1615482570'],NIMU,"['Agrippa bathrobe comes in a modern and chic Kimono structure. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
3,Nimu | Aegeria Bathrobe Shell,{'cotton': '100%'},,"('EUR', '200.00')",https://allsisters.com/products/nimu-aegeria-bathrobe-shell,['https://cdn.shopify.com/s/files/1/0827/0589/products/800210001231.jpg?v=1615482162'],NIMU,"['Aegeria bathrobe comes with a versatile and practical hood. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
4,Nimu | Aegeria Bathrobe Stone,{'cotton': '100%'},,"('EUR', '200.00')",https://allsisters.com/products/nimu-aegeria-bathrobe-stone,['https://cdn.shopify.com/s/files/1/0827/0589/products/800210009451.jpg?v=1615482116'],NIMU,"['Aegeria bathrobe comes with a versatile and practical hood. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
5,Nimu | Aegeria Bathrobe White,{'cotton': '100%'},['white'],"('EUR', '200.00')",https://allsisters.com/products/nimu-aegeria-bathrobe-white,['https://cdn.shopify.com/s/files/1/0827/0589/products/800210001001.jpg?v=1615481988'],NIMU,"['Aegeria bathrobe comes with a versatile and practical hood. It is made in waffle weave, pure organic cotton. The unusual combination of a three-dimensional weave with a hypoallergenic and natural fiber like cotton, increases the absorbency of the fabric, while decreasing the drying time. The result is a very light, but very resistant bathrobe.', 'This bathrobe is made of a particular texture that allows for a light and pleasant scrub giving a wellbeing feeling on the skin.', 'MADE IN ITALY']",['home']
6,OLYMPIC Top Bathing Suit in Color,"{'recycled polyamide': '78%', 'elastan': '22%'}","['etnico', 'nairobi', 'tripoli', 'cloud']","('EUR', '45.00')",https://allsisters.com/products/copia-de-olympic-top-bathing-suit-black,"['https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ03015-2_e0cde58a-1187-4ff5-8ff4-3f27ace91902.jpg?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ03055-2_68f647b0-9373-4b90-ae38-6483b0f86115.jpg?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPIC_TOP_CLOUD__copia.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/Cloud.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOP_ETNICO.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOPEtnico_back.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOP_Nairobi.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOPNairobi_back.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOP_Tripoli.png?v=1612273786', 'https://cdn.shopify.com/s/files/1/0827/0589/products/OLYMPICTOPTARIPOLI_back.png?v=1612273786']",allSisters,"['Sporty halter top with contrasting geometric pattern on mock-neck featuring textured print inspired by the art work of Sol Lewitt. The extra coverage in front is contrasted by the cut-out triangle in the back. An athletic option for a good splash! Available in all black, or black or white with a contrasting neck pattern.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with Econyl® - 100% regenerated polyamide fiber from post-consumer materials.']",['top']
7,WAVY Top Bathing Suit in Color,"{'recycled polyamide': '78%', 'elastan': '22%'}","['etnico', 'nairobi', 'tripoli', 'cloud']","('EUR', '45.00')",https://allsisters.com/products/copia-de-wavy-top-bathing-suit-black-1,"['https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ02024-2.jpg?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ01792-2_f34c1fe4-1197-46dc-9d48-e688af55a6cb.jpg?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ01817-2_26bbaca9-50c7-49cc-8179-38ce3b655032.jpg?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SiluetejadesWEBEtnico.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Etnico-01.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Cloud-01.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Nairobi-01.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Nairobi-02.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Tripoli-01.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Nairobi-02_00baae22-dbeb-43d3-b11b-dcfa3474b36a.png?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVYSET1_11c4026a-4006-4c1f-9c09-bbe5fca7f0f2.jpg?v=1612259012', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Tripoli-01_790417ab-394e-41f7-9da1-8bc32e2defe8.png?v=1612258996', 'https://cdn.shopify.com/s/files/1/0827/0589/products/WAVY_Top_Tripoli-02_png_eb517be7-70ac-44cc-bc23-908cae454944.png?v=1612258996']",allSisters,"['This sculpted top is designed to have all eyes on you. The flattering support in an open v-neck gives you a simple and feminine neckline. And if it’s eco-friendly, even better!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
8,JEAN ARP Top Bathing Suit in Color,"{'recycled polyamide': '78%', 'elastan': '22%'}","['etnico', 'nairobi', 'tripoli', 'cloud']","('EUR', '45.00')",https://allsisters.com/products/jean-arp-top-bathing-suit,"['https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Etnico-01.png?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Etnico-02.png?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ01622-2_874835b9-7f60-4060-95be-11777366b648.jpg?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ01690-2_de2c4b8a-613b-4967-bcc0-64fa5cebdd48.jpg?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Cloud-01.png?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Cloud-02.png?v=1612272920', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Nairobi-01.png?v=1612201021', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Nairobi-02.png?v=1612201021', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Tripoli-01.png?v=1612201021', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARP_Top_Tripoli-02.png?v=1612201021', 'https://cdn.shopify.com/s/files/1/0827/0589/products/JEANARPSET_7385967e-1abc-42f2-8db1-6900baf0aaa0.jpg?v=1612201021']",allSisters,"['Simple and timeless! A must have in your swimwear wardrobe. This sexy strap bikini top is an essential piece that gives a sophisticated and minimal look paired with the utmost comfort.  Dynamic cutout that makes this basic top a masterpiece.', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
9,SCORPII Top Bathing Suit in Color,"{'recycled polyamide': '78%', 'elastan': '22%'}","['etnico', 'nairobi', 'tripoli', 'cloud']","('EUR', '48.00')",https://allsisters.com/products/scorpii-top-bathing-suit-black-1,"['https://cdn.shopify.com/s/files/1/0827/0589/products/FRZ02098-2_17cf2403-5ec9-4c5f-b1c9-35e1ac9bcd40.jpg?v=1612261645', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Cloud-01.png?v=1612261645', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Cloud-02.png?v=1612261645', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Tripoli-02.png?v=1612261645', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Tripoli-01.png?v=1612261693', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Etnico-01.png?v=1612261699', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Etnico-02.png?v=1612261699', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Nairobi-01.png?v=1612261702', 'https://cdn.shopify.com/s/files/1/0827/0589/products/SCORPII_top_front_Nairobi-02.png?v=1612261702']",allSisters,"['Striking the balance between bold and timeless, the SCORPII set is a sure knockout! Stunning asymmetric top that can be worn whenever you want. It’s ideal for water sports but also for your night looks: pair it with short pants or a skirt and you have the perfect combo for a summery night!', 'All designs are made by hand in Portugal and in Recycled Polyester, with GRS (Global Recycle Standard) and OEKO-Tex Standard 100 certificate.', 'Sustainable techno-fabric made with ECONYL® - 100% regenerated polyamide fiber from pre- and post-consumer waste.']",['top']
