high_level,low_level
shirts,T-Shirts
shirts,Shirts
shirts,Tank Tops
shirts,Polo Shirts
shirts,Bandeau Tops
shirts,Bustier Tops
shirts,Crop Tops
shirts,Long Sleeve Buttondowns
shirts,Short Sleeve Buttondowns
shirts,Sleeveless Buttondowns
sweaters,Sweaters
sweaters,Cardigans
sweaters,Fleece
hoodies,Hoodies
sweatshirts,Sweatshirts
shorts,Shorts
skirts,Skirts
pants,Casual Pants
pants,Leggings
pants,Cargo/Carpenter Pants
pants,Dress Pants
joggers,Joggers
jeans,Jeans
dresses,Short Dresses
dresses,Midi Dresses
dresses,Maxi Dresses
dresses,Casual Dresses
dresses,Night Out Dresses
dresses,Formal Dresses
dresses,Office Dresses
dresses,Blouses
dresses,Wedding Dresses
rompers,Rompers/Jumpsuits
outerwear,Blazers
outerwear,Jackets
outerwear,Coats
outerwear,Filled Outerwear
outerwear,Ponchos
outerwear,Windbreaker
intimates,Bra
intimates,Underwear
intimates,Body Suit
intimates,Robe
intimates,Camisole
intimates,Corset
intimates,Tights/Socks
swimwear,Bikini Top
swimwear,Bikini Bottom
swimwear,One-Piece
swimwear,Trunks
swimwear,Wraps/Cover Ups
headgear,Caps
headgear,Brimmed Hats
headgear,Beanies
headgear,Berets
bag,Backpack
bag,Handbag
bag,Travel Bag
bag,Crossbody Bag
bag,Shoulder Bag
bag,Mini Bag
bag,Bucket Bag
bag,Tote Bag
shoes,Sneakers
shoes,Boots
shoes,Sandals
shoes,Heels
shoes,Wedge Heels
shoes,Flat Shoes
shoes,Clog Shoes
accessories,Belts
accessories,Wallets
accessories,Suspenders
accessories,Gloves
accessories,Scarves
accessories,Glasses/Sunglasses
accessories,Hair Accessories
pajamas,Pajamas
pajamas,Nightgown
sportswear,Sports suit
business,Business Suit
kids,Crawler
other,Other
jewelry,Jewelry
