,Name,Material,Color,Price,Size,URL,Image,Brand_name,Description
0,The Zachary | Mirror,"{'OCS Certified Organic Cotton': '66%', 'Tencel ™ Lyocell': '33%', 'Recycled Elastane': '1%'}",['mirror'],"('USD', '158')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-zachary-mirror,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60624d16a7942260624d16a7b08.5298900560624d16a7b08.jpg?v=1618612659,Boyish Jeans,"['A little give and take. The Zachary in Mirror is a high rise comfort stretch skinny jean in a medium dark eco wash. These upcycled jeans include OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 11 1/4""Inseam: 29""Leg Opening: 11 1/2""Zipper Fly']"
1,The Tommy Stretch | Eternal Sunshine,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '40%', 'Tencel™ Lyocell': '42%', 'Recycled Elastane': '1%'}",['eternal sunshine'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-tommy-stretch-eternal-sunshine,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish606253634f0bd8606253634f277.37273154606253634f277.jpg?v=1617057193,Boyish Jeans,"['The classic straight jean you love, this time with stretch. The Tommy Stretch in Eternal Sunshine is a cropped straight leg jean with a raw hem. This upcycled jean comes in a light blue eco wash and includes OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 10 3/4""Inseam: 27""Leg Opening: 14 1/2""Button Fly']"
2,The Ricky | Natural,"{'OCS Certified Organic Cotton': '69%', 'Tencel™ Lyocell': '30%', 'Recycled Elastane': '1%'}",['natural'],"('USD', '158')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-ricky-natural,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60833068ab36f760833068ab4ba.7686820560833068ab4ba.jpg?v=1620806295,Boyish Jeans,"['A little Boyish flare. The Ricky in Natural is a high waisted comfort stretch flare jean that will hug your body in all the right places. This jean comes in a neutral eco wash with novelty buttons and a unique back pocket shape.\nThese upcycled jeans include OCS-certified organic cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 12""Inseam: 34""Leg Opening: 21 1/2""Button Fly']"
3,The Monty | Ruby Sparks,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '43%', 'Refibra ™ X Tencel ™ Lyocell': '40%'}",['ruby sparks'],"('USD', '108')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-monty-ruby-sparks,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60b135c68b21c660b135c68b480.5892075960b135c68b480.jpg?v=1622226515,Boyish Jeans,"['Your new go-to Spring to Summer short. The Monty in Ruby Sparks comes in a medium eco wash with a raw hem and has a relaxed and flattering fit.\xa0These zero-waste shorts will be your new favorite second skin.\nThese sustainable high-rise shorts include GRS-certified recycled cotton and REFIBRA™\xa0fibers. REFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact.\xa0\nFront Rise: 11 1/2""Inseam: 4 3/4""Leg Opening: 23 1/4""Button Fly']"
4,The Bradley | Sunrise,"{'OCS Certified Organic Cotton': '60%', 'Tencel ™ Lyocell': '40%'}",['sunrise'],"('USD', '108')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-bradley-sunrise,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60aec450e892d760aec450e8c1f.2748098260aec450e8c1f.jpg?v=1622066784,Boyish Jeans,"['The ultimate (and longest) Boyish shorts. Our sustainable Bradley long shorts come in a light indigo eco wash with a raw hem for a relaxed and flattering fit.\nThese sustainable long shorts include OCS-certified organic cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing carbon footprint and water usage.\nFront Rise: 11 3/4""Inseam: 10""Leg Opening: 19""Button Fly']"
5,The Billy Stretch | Sliding Doors,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '40%', 'Tencel™ Lyocell': '42%', 'Recycled Elastane': '1%'}",['sliding doors'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-billy-stretch-sliding-doors,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60a45c7b8991d260a45c7b89bf0.1799574960a45c7b89bf0.jpg?v=1622168604,Boyish Jeans,"['The classic vintage sustainable skinny jean you love, this time with stretch. The Billy Stretch in Sliding Doors is a sustainable high-rise skinny jean in a light blue eco wash with destruction that is a staple for any closet.\nThis skinny jean includes OCS-certified organic cotton and\xa0Tencel™ Lyocell, a natural raw material produced from responsibly grown\xa0eucalyptus trees\xa0to minimize environmental impact, reducing carbon footprint and water usage.\nNatalie is wearing a 25.\nFront Rise: 11 1/4""Inseam: 29""Leg Opening: 11 1/2""Button Fly']"
6,The Monty | Natural,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['natural'],"('USD', '108')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-monty-natural,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60a4626bebb2a560a4626bebdf3.4547408960a4626bebdf3.jpg?v=1622052443,Boyish Jeans,"['Your go-to summer short. The Monty comes in a natural wash with a raw hem, destruction and has a relaxed and flattering fit.\nThese sustainable shorts include GRS-certified recycled cotton, reducing carbon footprint and water usage.\nNatalie is wearing a 25.\nFront Rise: 11 1/2""Inseam: 4 3/4""Leg Opening: 23 1/4""Button Fly']"
7,The Tommy Stretch | Sliding Doors,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '40%', 'Tencel™ Lyocell': '42%', 'Recycled Elastane': '1%'}",['sliding doors'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-tommy-stretch-sliding-doors,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60a4601609b2c660a4601609ca2.3817876460a4601609ca2.jpg?v=1622584796,Boyish Jeans,"['The classic straight jean you love, this time with stretch.\nThe Tommy Stretch in Sliding Doors is a cropped straight-leg\xa0jean with destruction and a raw hem.\nThis sustainable\xa0jean comes in a light blue eco wash and includes OCS-certified organic cotton and\xa0Tencel™ Lyocell, a natural raw material\xa0produced using eucalyptus trees from responsibly managed forests, reducing carbon footprint and water usage.\nNatalie is wearing a 25.\nFront Rise: 10 3/4""Inseam: 27""Leg Opening: 14 1/2""Button Fly']"
8,The Lennon | Crystal Pink,"{'OCS Certified Organic Cotton': '60%', 'Refibra™ X Tencel ™ Lyocell': '40%'}",['crystal pink'],"('USD', '48')","['XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-lennon-crystal-pink,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/TheLennon-CrystalPink-Front.jpg?v=1601022747,Boyish Jeans,"['Versatile vintage-inspired. The Lennon is a super soft jersey relaxed crew neck tee with short sleeves. This timeless staple includes OCS certified organic cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste tee will be your new favorite second skin.\nFront High Point Shoulder: 23 5/8""Sweep: 38 1/4""']"
9,Boyish Frida Scrunchie | Light Blue,{'Deadstock Cotton': '100%'},['light blue'],"('USD', '24')",['One Size'],https://www.boyish.com/products/boyish-frida-scrunchie-light-blue-denim,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish_Scrunchie_1_edit.jpg?v=1622052443,Boyish Jeans,"['A cute addition to any Boyish look. This Frida scrunchie comes in a light blue wash, perfect for accessorizing with jeans. Made with 100% cotton from deadstock, minimizing environmental impact, and reducing its carbon footprint and water usage.\nTie Length: 4 1/2"" (one side)']"
10,The Tommy | City Slickers,"{'OCS Certified Organic Cotton': '60%', 'Tencel ™ Lyocell': '40%'}",['city slickers'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-tommy-city-slickers,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish609c0eb8a83ae1609c0eb8a8605.99315100609c0eb8a8605.jpg?v=1621547359,Boyish Jeans,"['Straight up versatile. The Tommy is a classic high waisted rigid straight jean in a medium indigo wash with heavy ripped destruction that you\'ll keep in your closet forever.\nThese sustainable jeans include OCS Certified organic cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nEvelyn is wearing a 25.\nFront Rise: 10 3/4""Inseam: 27"" (cropped)Leg Opening: 14 1/2""Button Fly']"
11,The Angel | Natural,"{'OCS Certified Organic Cotton': '70%', 'Tencel™ Lyocell': '30%'}",['natural'],"('USD', '108')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-angel-natural,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish609b6f139b4d35609b6f139b5e5.30778936609b6f139b5e5.jpg?v=1621537111,Boyish Jeans,"['A summertime no-brainer. The Angel is an easy wide-leg short with an elasticated waist and side pockets. Pair with the Lennon tee for a more casual look, or suit up with the Julian blazer and Milo vest.\nThese upcycled shorts are made with OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nNatalie is wearing a size small.\nFront Rise: 14""Inseam: 3 1/2""Leg Opening: 27""']"
