material_id,type,backend_higg,frontend_higg,internal_abreviations,globalwarming,eutrophication,waterscarcity,abioticresourcedepletion,chemistry,overall_msi,co2e_kg,phosphate_po4eq,water_volume_m3,fossil_fuel_mj,chemistry_units,score_globwarm,score_eutrophication,score_water,score_resourcedepletion,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more
tex_acet_0,Textiles,"Acetate, Triacetate fabric",Acetate,AC,18.1,12.9,18.0,20.3,10.3,79.6,19.1,0.012,39.2,297.0,21.7,1.0,1.9113300492610839,1.0,1.0,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Acetate is soft and silky, and holds colored dye very well. It's a semi-synthetic fiber derived from wood pulp cellulose, which is a renewable resource.",,"The production of Acetate fabric involves many toxic chemicals, and the creation of pulpwood plantations for new material often requires destructive deforestation.","The production process of Acetate involves many toxic chemicals, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.",Acetate reacts very poorly to water. Try eco-friendly dry-cleaning for best results.,,"Acetate is the most toxic semi-synthetic cellulosic fiber due to the extensive use of harsh chemicals during its production.
","Acetate is the most toxic semi-synthetic cellulosic fiber due to the extensive use of harsh chemicals during its production.

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Acetate rom responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. "
tex_acry_1,Textiles,Acrylic fabric,Acrylic,,14.3,6.32,1.36,17.3,9.44,48.7,15.1,0.006,2.97,253.0,19.9,1.953405017921147,3.5320197044334978,3.5972808251289266,1.0,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Acrylic offers excellent durability, stretch, and warmth. Its wool-like texture makes it optimal for sweaters. ",,"Acrylic is a non-biodegradable, nonrenewable synthetic polymer plastic primarily derived from crude oil. ","Acrylic is a non-biodegradable, nonrenewable synthetic polymer plastic primarily derived from crude oil. 

One acrylic garment can shed thousands of microplastic filaments during a single wash cycle, further contaminating water systems.",Acrylic is best washed on a delicate cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to avoid pilling and conserve energy. Refrain from ironing to preserve fabric strength. ,Acrylic tends to hold on to stains and odors and requires frequent washing. It's best washed on a delicate cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to avoid pilling and conserve energy. Refrain from ironing to preserve fabric strength. ,"When washed and worn, acrylic sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 
","Acrylic is a synthetic petroleum-based material derived from plastic. When washed and worn, acrylic sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some acrylic garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since acrylic is non-biodegradable, recycling plastic into acrylic fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. "
tex_alpa_2,Textiles,Alpaca Fabric,Alpaca,WP,77.8,222.0,1.24,9.22,9.29,320.0,82.5,0.212,2.7,135.0,19.6,1.0,1.0,3.653539615564932,3.8350877192982455,Animal Based,Alpaca,Natural,Regenerative,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Aplaca is incredibly warm and durable. It's a biodegradable, renewable resource available in up to 20 naturally-ocuring colors, which eliminates the need for dyeing in many cases. ",,"Although shearing, the process of removing the wool from an alpaca, is not harmful to the animal, animal welfare is always a concern.",,"Alpaca is best washed by hand in cold water. Never put alpaca l in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Alpaca naturally repels dirt and can thus be spot cleaned with cold water. When in need of a good cleaning, hand washing in cold water is best. Never put alpaca l in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Alpaca is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand Alpaca garments can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet.","Like most animal-derived raw materials, waste generated from Alpaca for fiber production contributes to greenhouse gasses. However, free-range grazing animals and proper regenerative Alpaca farming supports bio-sequestration, increases biodiversity, reduces water pollution and improves soil health. Supply chain transparency is crucial to ensure animal well-being and regenerative farming practices. Alpaca naturally occurs in more than 20 color variances, which significantly reduces the need for dyeing.

Alpaca is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand Alpaca garments can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet."
tex_aram_3,Textiles,Aramid fabric,Aramid,,9.76,2.46,0.605,13.0,7.13,32.9,10.3,0.002,1.32,189.0,15.0,3.0924731182795697,4.482758620689656,3.951242381622128,2.5087719298245617,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Aramid has outstanding strength and heat durability, making it the fiber of choice for protective wear often worn in military and aerospace applications.",,"Aramid is a non-biodegradable, nonrenwable synthetic polymer plastic that's primarily derived from crude oil. ",,Aramid is best washed in a normal cycle in cold or warm water. Hang dry to conserve energy and preserve fabric strength.,,"The production of aramid materials uses extensive amounts of sulphuric acid, a substance that is harmful to plant and animal life when not sustainably managed. Although aramid is not biodegradable, it can be recycled when brought to the correct facility.","Aramids extreme durability makes it the material of choice for most fire fighters, first responders, military and aerospace personnel. The production of aramid materials uses extensive amounts of sulphuric acid, a substance that is harmful to plant and animal life when not sustainably managed. Although aramid is not biodegradable, it can be recycled when brought to the correct facility."
tex_carb_4,Textiles,Carbon fiber fabric,Carbon,,18.7,16.6,2.06,23.1,4.04,64.5,19.8,0.016,4.48,337.0,8.53,1.0,1.0,3.26910454758556,1.0,Synthetic Carbon & Plastic Derivative,"Carbon, Polymer Plastic",Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Carbon fiber is exceptionally strong, durable, heat resistant, and lightweight.",,"Carbon is blended with non-biodegradable, nonrenewable synthetic polymer plastics for textile use, which are derived from crude oil. ","Carbon is blended with non-biodegradable, nonrenewable synthetic polymer plastics for textile use, which are derived from crude oil. Carbon fiber can be pretty rigid and uncomfortable, so it's usually blended with other materials to form textiles appropriate for garment use; this makes it difficult to recycle. ",Carbon fiber is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,,"Carbon fiber fabric is a textile innovation borrowed from the military and aerospace industries. Carbon fiber is usually woven with other natural or synthetic fibers to increase the strength, durability, and heat resistance of garments.",
tex_cell_5,Textiles,"Cellulosic Fiber, Naia {Eastman}",Naia Cellulosic Fiber,,9.47,3.39,1.82,11.6,9.18,38.85,10.0,0.003,3.97,170.0,19.4,3.1652329749103947,4.253694581280788,3.381622128457572,3.0,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Naia is silky-soft, breathable, and resilient. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced pine and eucalyptus wood pulp. ",,"The creation of pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,Naia is best washed in a gentle cycled with cold or warm water. Tumble dry on low or hang dry to preserve fabric strength and garment shape. ,"Naia is resistant to pilling, shrinkage, and stains, so it can be washed in a gentle cycled with cold or warm water. Tumble dry on low or hang dry to preserve fabric strength and garment shape. ",Naia begins as cellulose derived from sustainably managed pine and eucalyptus forests and plantations. It's produced in a near closed-loop process where most solvents are recycled back into the system for reuse. It's produced without the use of hazardous chemicals and is one of the lowest-impact semi-synthetic fibers available for apparel use. ,Naia begins as cellulose derived from sustainably managed pine and eucalyptus forests and plantations. It's produced in a near closed-loop process where most solvents are recycled back into the system for reuse. It's produced without the use of hazardous chemicals and is one of the lowest-impact semi-synthetic fibers available for apparel use. 
tex_cott_6,Textiles,Cotton fabric,"Cotton, poplin, tabinet",CO,8.8,17.6,57.1,6.69,10.9,101.0,9.33,0.017,124.0,97.7,23.0,3.333333333333333,1.0,1.0,4.722807017543858,Plant Based,Cotton Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Cotton is a soft, breathable, durable material that's biodegradable and renewable. In many regions, farmers can irrigate cotton with natural rainfall.",,"Cotton is the most pesticide-intensive crop in the world, and synthetic cotton dyes often pollute water streams when not managed sustainably.","Cotton is the most pesticide-intensive crop in the world, and synthetic cotton dyes often pollute water streams when not managed sustainably. Price can be volatile and is affected by the weather.","Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Cotton production is rooted in colonialism and slavery, and is foundational to America’s long history of racial oppression and labor exploitation. Many fashion companies continue to exploit cotton farmers and garment workers to this day, failing to ensure ethical supply chain practices.","Cotton production is rooted in colonialism and slavery, and is foundational to America’s long history of racial oppression and labor exploitation. The colonial effects of the cotton trade can still be seen throughout the world, especially in countries like India, Brazil, and Pakistan. Many fashion companies continue to exploit cotton farmers and garment workers to this day, and fail to ensure ethical supply chain practices."
tex_cott_7,Textiles,"Cotton fiber, organic","Organic cotton, organic poplin, organic tabinet",,7.6,9.4,6.9,6.1,8.3,38.3,8.06,0.009000000000000001,15.0,89.1,17.5,3.634408602150538,2.7733990147783256,1.0,4.9298245614035086,Plant Based,Cotton Plant,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Organic cotton is a soft, breathable, durable material that's biodegradable and renewable. Organic cotton uses zero pesticides, fungicides, GMO seeds, or synthetic fertilizers.",,"Organic cotton yeilds can be significantly smaller than conventional cotton, which often increases its land use. ",,"Organic Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Organic cotton is better for the planet, and for the farmers who grow it. Growing cotton without the use of pesticides, synthetic fertilizers or GMO seeds leads to healthier soil, reduced water consumption, and healthier ecosystems. ",
tex_cott_8,Textiles,"Cotton fiber, recycled","Recycled cotton, upcycled cotton, post consumer cotton, deadstock cotton",,6.78,5.77,2.13,5.9,8.3,28.88,7.19,0.006,4.65,86.2,17.5,3.8401433691756273,3.667487684729065,3.2362869198312234,5.0,Plant Based,Cotton Plant (Post-Consumer or Post-Industrial Waste),Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Recycled cotton is a soft, absorbant, durable material that's biodegradable and renewable. It's significantly less harmful to the environment than virgin cotton, and keeps textile waste out of landfills.   ",,Recycled cotton can be slightly more coarse than virgin cotton and is more prone to wrinking.,,"Recycled Cotton is best washed in a gentle cycle with cold or warm water to preserve fabric strength. Tumble dry on low to prevent shrinkage, or hang dry to conserve energy and prevent wrinkles.",,"Cotton recycling conserves valuable resources and reduces waste. Choosing recycled cotton over virgin cotton saves significant amounts of water, energy, and greenhouse gas emissions, and moves us closer to a circular economy.",
tex_elas_9,Textiles,Elastane/Spandex {Hyosung} Creora® bio-based ,Creora (Bio-based Elastane/Spandex),,7.83,5.45,2.7,9.44,4.94,30.36,8.3,0.005,5.89,138.0,10.4,3.5767025089605737,3.746305418719212,2.9690576652601965,3.7578947368421067,Plant Based,Corn Plant,Synthetic,Renewable,Recyclable,Not Biodegradable (Industrial Facilities Only),Microplastic Pollutant,"Spandex is known for it's elasticity. It's a synthetic fiber commonly used for leggings, athletic wear, undergarments, and any other material that requires a perfect fit and stretch. ",,"Spandex does not have a long shelf life, which means you may need to repurchase swimsuits, leggings, and other spandex garments more frequently.",,"Spandex swimwear and undergarments should be hand washed in cold water to preserve garment integrity. Athletic wear and jeans can be turned inside out and washed in a gentle cycle with cold water. Spandex degrades faster with high heat, so hang dry to maintain elasticity and garment shape. ",,"Creora® bio-based Spandex is derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. ","Creora® bio-based Spandex is derived from corn instead of fossil fuels, which means it relies on a renewable resource. However, corn-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. 

Spandex is usually blended with other materials, and since it can't be separated easily after blending, it's not widely recyclable. Spandex has a relatively short shelf-life, and will often lose its elasticity before the fibers its blended with lose their functionality. The best way to extend the life of spandex garments is to protect them from high heat; that mean's no tumble drying.

When washed and abraded, spandex sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. "
