material_id,type,backend_higg,frontend_higg,internal_abreviations,globalwarming,eutrophication,waterscarcity,abioticresourcedepletion,chemistry,overall_msi,co2e_kg,phosphate_po4eq,water_volume_m3,fossil_fuel_mj,chemistry_units,score_globwarm,score_eutrophication,score_water,score_resourcedepletion
tex_acet_0,Textiles,"Acetate, Triacetate fabric",Acetate,AC,18.1,12.9,18.0,20.3,10.3,79.6,19.1,0.012,39.2,297.0,21.7,1.0,1.911330049261084,1.0,1.0
tex_acry_1,Textiles,Acrylic fabric,Acrylic,,14.3,6.32,1.36,17.3,9.44,48.7,15.1,0.006,2.97,253.0,19.9,1.953405017921147,3.5320197044334978,3.5972808251289266,1.0
tex_alpa_2,Textiles,Alpaca Fabric,Alpaca,WP,77.8,222.0,1.24,9.22,9.29,320.0,82.5,0.212,2.7,135.0,19.6,1.0,1.0,3.653539615564932,3.8350877192982455
tex_aram_3,Textiles,Aramid fabric,Aramid,,9.76,2.46,0.605,13.0,7.13,32.9,10.3,0.002,1.32,189.0,15.0,3.09247311827957,4.482758620689655,3.9512423816221283,2.5087719298245617
tex_carb_4,Textiles,Carbon fiber fabric,Carbon,,18.7,16.6,2.06,23.1,4.04,64.5,19.8,0.016,4.48,337.0,8.53,1.0,1.0,3.26910454758556,1.0
tex_cell_5,Textiles,"Cellulosic Fiber, Naia {Eastman}",Naia Cellulosic Fiber,,9.47,3.39,1.82,11.6,9.18,38.85,10.0,0.003,3.97,170.0,19.4,3.1652329749103947,4.253694581280788,3.3816221284575714,3.0
tex_cott_6,Textiles,Cotton fabric,"Cotton, poplin, tabinet",CO,8.8,17.6,57.1,6.69,10.9,101.0,9.33,0.017,124.0,97.7,23.0,3.3333333333333335,1.0,1.0,4.722807017543859
tex_cott_7,Textiles,"Cotton fiber, organic","Organic cotton, organic poplin, organic tabinet",,7.6,9.4,6.9,6.1,8.3,38.3,8.06,0.009,15.0,89.1,17.5,3.634408602150538,2.7733990147783256,1.0,4.9298245614035086
tex_cott_8,Textiles,"Cotton fiber, recycled","Recycled cotton, upcycled cotton, post consumer cotton, deadstock cotton",,6.78,5.77,2.13,5.9,8.3,28.88,7.19,0.006,4.65,86.2,17.5,3.8401433691756273,3.6674876847290645,3.2362869198312234,5.0
tex_elas_9,Textiles,Elastane/Spandex {Hyosung} Creora® bio-based ,Creora (Bio-based Elastane/Spandex),,7.83,5.45,2.7,9.44,4.94,30.36,8.3,0.005,5.89,138.0,10.4,3.5767025089605737,3.7463054187192117,2.9690576652601965,3.757894736842106
tex_elas_10,Textiles,Elastane/Spandex/Lycra fabric,"Elastane, Spandex, Lycra",EL/EA,8.63,6.72,5.57,9.22,4.94,35.1,9.14,0.006,12.1,135.0,10.4,3.375985663082437,3.4334975369458127,1.6235349273323956,3.8350877192982455
tex_flax_11,Textiles,Flax fiber fabric,"Flax, linen",LI,13.6,52.3,3.43,12.0,11.1,92.5,14.4,0.05,7.48,175.0,23.5,2.129032258064517,1.0,2.6268166901078294,2.8596491228070176
tex_hemp_12,Textiles,Hemp fiber fabric,Hemp,HA/CA,14.0,59.8,4.23,12.2,9.77,100.0,14.8,0.057,9.23,178.0,20.6,2.0286738351254483,1.0,2.2517580872011247,2.7894736842105265
tex_agra_13,Textiles,Agraloop BioFibre (cottonized) {Circular Systems},Agraloop BioFibre™,,14.4,38.9,9.78,13.6,9.77,86.45,15.3,0.037,21.3,199.0,20.6,1.9283154121863801,1.0,1.0,2.298245614035088
tex_jute_14,Textiles,Jute fiber fabric,Jute,,11.1,18.9,6.82,9.91,11.1,57.9,11.8,0.018,14.9,145.0,23.5,2.756272401433692,1.0,1.0375058602906706,3.592982456140351
tex_lyoc_15,Textiles,Lyocell fabric,Lyocell,CLY,14.0,11.4,3.99,11.2,9.4,50.0,14.8,0.011,8.7,164.0,19.8,2.0286738351254483,2.2807881773399017,2.3642756680731365,3.140350877192983
tex_tenc_16,Textiles,Tencel™ Lyocell fabric {Lenzing} ,Tencel™ Lyocell,,9.68,8.35,2.41,9.26,9.4,39.1,10.3,0.008,5.25,135.0,19.8,3.1125448028673834,3.032019704433498,3.105016408813877,3.8210526315789477
tex_moda_17,Textiles,Modal fabric,Modal,MD,18.4,12.9,4.0,15.5,9.4,60.2,19.5,0.012,8.71,226.0,19.8,1.0,1.911330049261084,2.3595874355368025,1.6315789473684212
tex_tenc_18,Textiles,Tencel™ Modal {Lenzing}Tencel,Tencel™ Modal,,8.28,7.15,2.22,8.24,9.4,35.29,8.78,0.007,4.85,120.0,19.8,3.463799283154122,3.3275862068965516,3.1940928270042193,4.178947368421053
tex_liva_19,Textiles,Livaeco™ Modal Fibre {BIRLA},Livaeco™ Modal,,10.5,9.33,2.57,10.3,9.4,42.1,11.2,0.009,5.61,151.0,19.8,2.906810035842294,2.79064039408867,3.0300046882325367,3.4561403508771926
tex_nylo_20,Textiles,Nylon fabric,Polyamide/Nylon,PA,15.3,4.67,0.937,18.3,9.29,48.49,16.2,0.004,2.04,268.0,19.6,1.7025089605734767,3.938423645320197,3.7955930614158464,1.0
tex_nylo_21,Textiles,"Nylon fabric, recycled","Recycled Polyamide/Nylon, Upcycled Polyamide/Nylon, Post-consumer Polyamide/Nylon, deadstock Polyamide/Nylon",,8.38,2.75,1.15,9.68,10.4,32.36,7.51,0.003,2.38,102.0,17.2,3.4387096774193546,4.411330049261084,3.6957337083919364,3.673684210526316
tex_nylo_22,Textiles,"Nylon 4.10, bio-based, for textile production",Bio-based Nylon,,14.9,43.2,68.4,15.2,9.29,150.99,15.8,0.041,149.0,221.0,19.6,1.802867383512545,1.0,1.0,1.7368421052631584
tex_ultr_23,Textiles,Ultramid B {BASF},Ultramid®,,11.2,3.41,0.835,14.8,9.29,39.535,11.9,0.003,1.82,216.0,19.6,2.731182795698925,4.248768472906404,3.843413033286451,1.8771929824561404
tex_nylo_24,Textiles,"Nylon 6.6, Amni Soul Eco (Solvay Group, Brazil - contains data for yarn formation/spinning)",Amni Soul Eco®,,16.6,8.43,2.69,18.5,9.29,55.51,17.6,0.008,5.86,270.0,19.6,1.3763440860215055,3.012315270935961,2.9737458977965305,1.0
tex_poly_25,Textiles,Polyester fabric,Polyester,PL/PES,9.66,3.29,1.32,12.6,9.29,36.2,10.2,0.003,2.88,184.0,19.6,3.1175627240143373,4.27832512315271,3.6160337552742616,2.649122807017544
tex_lycr_26,Textiles,LYCRA T400 EcoMade Fiber {The LYCRA Company},LYCRA® T400 EcoMade Fiber,,13.0,4.86,1.6,15.2,10.4,45.06,13.8,0.005,3.49,222.0,22.0,2.279569892473119,3.8916256157635467,3.484763244256915,1.7368421052631584
tex_poly_27,Textiles,"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for textiles","Recycled Polyester, Upcycled Polyester, Post-consumer Polyester, deadstock Polyester, Ecomove",,8.69,6.89,1.1,9.07,9.29,35.04,8.98,0.005,4.51,130.0,19.6,3.360931899641577,3.391625615763547,3.719174871073605,3.887719298245614
tex_poly_28,Textiles,Polyethylene (PE) fabric,Polyethylene,,5.14,2.54,0.501,8.37,5.96,22.51,5.45,0.002,1.09,122.0,12.6,4.251612903225807,4.463054187192118,4.0,4.133333333333334
tex_poly_29,Textiles,Polylactic Acid (PLA) fabric,Polylactic,,9.06,6.91,1.76,9.03,9.29,36.1,9.6,0.007,3.83,132.0,19.6,3.2681003584229393,3.3866995073891624,3.4097515236755744,3.901754385964913
tex_poly_30,Textiles,Polypropylene (PP) fabric,Polypropylene,PP,5.6,2.59,0.522,8.49,7.04,24.2,5.94,0.002,1.14,124.0,14.9,4.136200716845878,4.450738916256158,3.990154711673699,4.091228070175439
tex_poly_31,Textiles,"Polypropylene (PP), recycled for textile",Polypropylene Recycled,,4.15,2.39,0.532,3.6,5.96,16.632,4.4,0.002,1.16,52.6,12.6,4.5,4.5,3.985466479137365,5.0
tex_poly_32,Textiles,Polytrimethylene terephthalate (PTT) fabric,Polytrimethylene terephthalate,,10.3,12.0,1.54,12.6,10.4,46.8,10.9,0.011,3.36,183.0,22.0,2.956989247311828,2.1330049261083746,3.512892639474918,2.649122807017544
tex_poly_33,Textiles,Polyurethane (PU) fabric,Polyurethane ,,10.5,3.48,0.915,14.1,8.15,37.2,11.2,0.003,2.0,206.0,19.6,2.906810035842294,4.231527093596059,3.8059071729957807,2.12280701754386
tex_free_34,Textiles,Freeflex™ TPU Resin {BASF} for textile,Freeflex™,,11.7,4.7,0.9540000000000001,14.7,9.29,41.343999999999994,12.4,0.004,2.08,215.0,19.6,2.60573476702509,3.9310344827586206,3.7876230661040786,1.9122807017543866
tex_silk_35,Textiles,Silk fabric,Silk,SE,85.2,591.0,349.0,52.6,8.22,1086.0,90.3,0.564,760.0,768.0,17.3,1.0,1.0,1.0,1.0
tex_visc_36,Textiles,Viscose/Rayon fabric from wood pulp,Viscose / Rayon,VI,14.8,12.2,5.01,13.0,10.6,55.6,15.7,0.012,10.9,190.0,22.3,1.827956989247312,2.0837438423645325,1.8860759493670889,2.5087719298245617
tex_visc_37,Textiles,Viscose/Rayon (Regenerated cellulose) from bamboo,Bamboo Viscose,,12.9,8.73,2.53,12.7,9.4,46.26,13.7,0.008,5.51,186.0,19.8,2.3046594982078856,2.938423645320197,3.0487576183778717,2.614035087719299
tex_liva_38,Textiles,Livaeco™ Viscose Staple Fiber {BIRLA},Livaeco™ Viscose,,11.2,7.89,2.66,10.6,9.4,41.75,11.9,0.008,5.8,155.0,19.8,2.731182795698925,3.1453201970443354,2.9878105954055316,3.3508771929824563
tex_lenz_39,Textiles,Lenzing™ECOVERO™Viscose,Lenzing™ECOVERO™ Viscose,,9.71,7.96,2.57,9.25,9.4,38.89,10.3,0.008,5.61,135.0,19.8,3.1050179211469535,3.12807881773399,3.0300046882325367,3.8245614035087723
tex_wool_40,Textiles,Wool fabric,Wool,WO,45.2,15.8,1.67,9.13,7.2,79.0,47.9,0.015,3.63,133.0,15.2,1.0,1.1970443349753697,3.451945616502578,3.8666666666666663
tex_wool_41,Textiles,"Wool fabric, recycled","Recycled Wool, Upcycled Wool, Post-consumer Wool, deadstock Wool",,10.4,8.96,1.99,9.83,7.2,38.38,9.49,0.004,3.68,127.0,15.2,2.9318996415770613,2.881773399014778,3.301922175339897,3.6210526315789475
lea_cow _42,Leather,Cow leather,Cow leather,,34.3,77.4,9.99,14.0,40.3,176.0,36.4,0.074,21.8,204.0,85.0,1.0,1.4997733454215774,1.0,1.0
lea_goat_43,Leather,Goat leather,Goat leather,,9.47,90.0,0.415,7.83,40.3,148.0,10.0,0.021,0.905,114.0,85.0,1.0,1.0,4.0,3.863109048723898
lea_kang_44,Leather,Kangaroo leather,Kangaroo leather,,8.96,3.64,1.9,9.27,28.0,51.8,9.5,0.003,4.15,135.0,59.0,1.4903846153846152,4.425430643699002,1.0,3.194895591647332
lea_pig _45,Leather,Pig leather,Pig leather,,9.47,21.6,0.415,7.83,40.3,79.6,10.0,0.021,0.905,114.0,85.0,1.0,3.7130553037171348,4.0,3.863109048723898
lea_plan_46,Leather,Plant based leather (Piñatex®),Piñatex® Plant based leather,,5.83,4.03,1.79,5.38,0.948,18.0,6.18,0.004,3.91,78.6,2.0,4.5,4.409961468721669,1.2222222222222219,5.0
