0,"{'tex_cott_6': 0.99, 'tex_elas_10': 0.01}"
1,"{'tex_poly_25': 0.9099999999999999, 'tex_visc_36': 0.08, 'tex_elas_10': 0.01}"
2,"{'tex_cott_6': 0.67, 'tex_poly_25': 0.33}"
3,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
4,"{'tex_poly_25': 0.34, 'tex_nylo_20': 0.52, 'tex_elas_10': 0.13}"
5,{}
6,{'tex_cott_6': 1.0}
7,{'tex_poly_25': 1.0}
8,"{'tex_poly_25': 0.48, 'tex_cott_6': 0.49, 'tex_elas_10': 0.02}"
9,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
10,{}
11,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
12,"{'tex_cott_6': 0.96, 'tex_elas_10': 0.04}"
13,{'tex_poly_25': 1.0}
14,{'tex_cott_6': 1.0}
15,{'tex_cott_6': 1.0}
16,"{'tex_visc_36': 0.4, 'tex_acry_1': 0.4, 'tex_nylo_20': 0.2}"
17,"{'tex_cott_6': 0.62, 'tex_poly_25': 0.38}"
18,"{'tex_nylo_20': 0.88, 'tex_elas_10': 0.12}"
19,"{'tex_poly_25': 0.79, 'tex_elas_10': 0.21}"
20,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
21,"{'tex_acry_1': 0.63, 'tex_nylo_20': 0.32, 'tex_wool_40': 0.05}"
22,{'tex_cott_6': 1.0}
23,{'tex_visc_36': 1.0}
24,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
25,{'tex_cott_6': 1.0}
26,"{'tex_poly_25': 0.85, 'tex_visc_36': 0.14}"
27,"{'tex_cott_6': 0.6, 'tex_poly_25': 0.4}"
28,"{'tex_poly_25': 0.98, 'tex_elas_10': 0.02}"
29,"{'tex_cott_6': 0.97, 'tex_elas_10': 0.03}"
30,"{'tex_cott_6': 0.8, 'tex_poly_25': 0.2}"
31,"{'tex_poly_25': 0.69, 'tex_visc_36': 0.3, 'tex_elas_10': 0.01}"
32,"{'tex_cott_6': 0.6000000000000001, 'new_typi_132': 0.4}"
33,"{'tex_cott_6': 0.6000000000000001, 'tex_poly_25': 0.39999999999999997}"
34,{'tex_poly_25': 1.0}
35,{'tex_cott_6': 1.0}
36,"{'tex_poly_25': 0.9, 'tex_elas_10': 0.1}"
37,{'tex_cott_6': 1.0}
38,"{'tex_cott_6': 0.6, 'tex_poly_25': 0.4}"
39,"{'tex_moda_17': 0.46, 'tex_poly_25': 0.36, 'tex_elas_10': 0.08, 'tex_cott_6': 0.1}"
40,{}
41,{'tex_poly_25': 1.0}
42,"{'tex_visc_36': 0.82, 'tex_nylo_20': 0.18}"
43,"{'tex_poly_25': 0.9, 'tex_elas_10': 0.1}"
44,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
45,"{'tex_cott_6': 0.8, 'tex_visc_36': 0.15, 'tex_elas_10': 0.05}"
46,"{'tex_nylo_20': 0.75, 'tex_elas_10': 0.12000000000000001, 'tex_poly_25': 0.12}"
47,"{'tex_cott_6': 0.73, 'tex_poly_25': 0.23, 'tex_elas_10': 0.04}"
48,{'tex_cott_6': 1.0}
49,{'tex_cott_6': 1.0}
50,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
51,{'tex_cott_6': 1.0}
52,"{'tex_cott_6': 0.75, 'tex_nylo_20': 0.21, 'tex_elas_10': 0.04}"
53,"{'tex_nylo_20': 0.61, 'tex_elas_10': 0.13, 'tex_poly_25': 0.26}"
54,"{'tex_poly_25': 0.5, 'tex_wool_40': 0.47, 'tex_cott_6': 0.02}"
55,"{'tex_poly_25': 0.98, 'tex_elas_10': 0.02}"
56,"{'tex_cott_6': 0.95, 'tex_poly_25': 0.05}"
57,"{'tex_cott_6': 0.55, 'tex_poly_25': 0.37, 'tex_elas_10': 0.08}"
58,"{'tex_poly_25': 0.79, 'tex_visc_36': 0.2, 'tex_elas_10': 0.01}"
59,"{'tex_cott_6': 0.95, 'tex_elas_10': 0.05}"
60,"{'tex_cott_6': 0.8, 'tex_poly_25': 0.2}"
61,{'tex_poly_25': 1.0}
62,{'tex_cott_6': 1.0}
63,"{'tex_poly_25': 0.05, 'tex_nylo_20': 0.95}"
64,"{'tex_visc_36': 0.5, 'tex_acry_1': 0.5}"
