,Unnamed: 0,index,Name,Price,URL,Colors,Image,Materials,Description,Brand_name,high-level,category
0,0,0,GABAN LONG TRENCH COAT,£375.00,https://ecoalf.com/en/jackets-and-coats/2020123-19506-gaban-long-trench-coat#/1-talla-s,"['khaki', 'black']",https://ecoalf.com/16147-large_default/gaban-long-trench-coat.jpg,"['59% Recycled polyester ', ' 41% Sorona®']","Men’s trench coat with hidden zip closure, adjustable cuffs. It is water repellent, waterproof and breathable. Made with recycled polyester and Sorona®.",Ecoalf,5,11
1,1,1,BERET JACKET MAN,£189.90,https://ecoalf.com/en/jackets-and-coats/2020098-19371-beret-jacket-man#/4-talla-xs,"['koreangreen', 'olive', 'navy', 'deepnavy', 'brightyellow', 'burnedorange', 'red', 'caviar', 'black']",https://ecoalf.com/16728-large_default/beret-jacket-man.jpg,['100% Recycled polyester'],"The Beret jacket, with high neck and padding is 100% made with recycled polyester from recycled plastic bottles.",Ecoalf,5,11
2,2,2,GROENLAND COAT MAN,£489.90,https://ecoalf.com/en/jackets-and-coats/2020136-19582-groenland-coat-man#/4-talla-xs,"['koreangreen', 'deepnavy', 'black']",https://ecoalf.com/16779-large_default/groenland-coat-man.jpg,['100% Recycled nylon'],Men’s parka made with recycled nylon and recycled polyester. Kitted out with neck and hood for cold and rainy days.,Ecoalf,5,11
3,3,3,STADIUM JACKET MAN,£199.90,https://ecoalf.com/en/jackets-and-coats/2020203-19955-stadium-jacket-man#/1-talla-s,"['koreangreen', 'deepnavy', 'brick', 'black']",https://ecoalf.com/16302-large_default/stadium-jacket-man.jpg,['100% Recycled polyester'],Padded men’s jacket with side and front pockets and high neck. It is 100% made with recycled plastic bottles.,Ecoalf,5,11
4,4,4,ST MORITZ VEST MAN,£169.90,https://ecoalf.com/en/vests/2020207-19975-st-moritz-vest-man#/1-talla-s,"['koreangreen', 'deepnavy', 'peacockblue', 'caviar', 'black']",https://ecoalf.com/17247-large_default/st-moritz-vest-man.jpg,['100% Recycled polyester'],Padded gilet which is vegan and made with recycled plastic bottles.,Ecoalf,5,11
5,5,5,ICEBERG LONG JACKET,£599.91,https://ecoalf.com/en/jackets-and-coats/2020148-19650-iceberg-long-jacket#/1-talla-s,"['darkkhaki', 'black']",https://ecoalf.com/17405-large_default/iceberg-long-jacket.jpg,['100% Recycled polyester'],"Long men’s jacket, with adjustable hood, zip closure, side pockets with zip and front pockets. Includes a recycled zip.",Ecoalf,5,11
6,6,6,VINTAGE REVERSIBLE HOOD JACKET,£369.90,https://ecoalf.com/en/jackets-and-coats/2020226-20085-vintage-reversible-hood-jacket#/4-talla-xs,"['koreangreen', 'caviar']",https://ecoalf.com/17235-large_default/vintage-reversible-hood-jacket.jpg,['100% Recycled polyester'],"Reversible long men’s jacket, zip closure, high neck, adjustable drawstring hood and zip pockets. Mainly made with recycled plastic bottles.",Ecoalf,2,3
7,7,7,GERALD DETACHABLE JACKET,£329.89,https://ecoalf.com/en/jackets-and-coats/2020131-19552-gerald-detachable-jacket#/4-talla-xs,"['deepnavy', 'burnedorange', 'asphalt']",https://ecoalf.com/16763-large_default/gerald-detachable-jacket.jpg,['100% Recycled nylon'],"Padded men’s jacket with two-colour design. Hidden zip closure, hood and side pockets. Made with recycled nylon and recycled polyester.",Ecoalf,5,11
8,8,8,HAMPSHIRE SEALED PADDED RAINCOAT,£299.90,https://ecoalf.com/en/jackets-and-coats/2020141-19612-hampshire-sealed-padded-trench#/1-talla-s,"['whitesand', 'deepnavy', 'graphite']",https://ecoalf.com/15994-large_default/hampshire-sealed-padded-trench.jpg,"['56% Polyester ', ' 44% Recycled polyester']","The improved classic coat, mainly made with recycled polyester from plastic bottles. Waterproof and breathable.",Ecoalf,5,11
9,9,9,SANDFORD BASIC SNEAKERS MAN,£89.90,https://ecoalf.com/en/sneakers/2020470-21371-sandford-basic-sneakers-man#/7-talla-40,"['offwhite', 'black']",https://ecoalf.com/17056-large_default/sandford-basic-sneakers-man.jpg,['100% Recycled nylon'],Vegan men’s trainers with text on the sole and closure with laces. Made with recycled nylon.,Ecoalf,10,16
