Material Name,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more,Sources
"Acetate, Triacetate fabric",Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Acetate is soft and silky, and holds colored dye very well. It's a semi-synthetic fiber derived from wood pulp cellulose, which is a renewable resource.",,"The production of Acetate fabric involves many toxic chemicals, and the creation of pulpwood plantations for new material often requires destructive deforestation.","The production process of Acetate involves many toxic chemicals, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.",Acetate reacts very poorly to water. Try eco-friendly dry-cleaning for best results.,,"Acetate is the most toxic semi-synthetic cellulosic fiber due to the extensive use of harsh chemicals during its production.
","Acetate is the most toxic semi-synthetic cellulosic fiber due to the extensive use of harsh chemicals during its production.

Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Acetate rom responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ","https://www.panaprium.com/blogs/i/acetate-fiber 

https://www.thelaundress.com/how-to/acetate.html "
Acrylic fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Acrylic offers excellent durability, stretch, and warmth. Its wool-like texture makes it optimal for sweaters. ",,"Acrylic is a non-biodegradable, nonrenewable synthetic polymer plastic primarily derived from crude oil. ","Acrylic is a non-biodegradable, nonrenewable synthetic polymer plastic primarily derived from crude oil. 

One acrylic garment can shed thousands of microplastic filaments during a single wash cycle, further contaminating water systems.",Acrylic is best washed on a delicate cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to avoid pilling and conserve energy. Refrain from ironing to preserve fabric strength. ,Acrylic tends to hold on to stains and odors and requires frequent washing. It's best washed on a delicate cycle with cold water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to avoid pilling and conserve energy. Refrain from ironing to preserve fabric strength. ,"When washed and worn, acrylic sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 
","Acrylic is a synthetic petroleum-based material derived from plastic. When washed and worn, acrylic sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

Some acrylic garments are made from recycled plastic, but this isn't a solution to our plastic crisis. Since acrylic is non-biodegradable, recycling plastic into acrylic fabric simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. ",
Agraloop BioFibre (cottonized) {Circular Systems},Plant Based,"Hemp, Flax, Banana, Pineapple Plants",Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Agraloop BioFibre™ is durable, breathable, absorbent, and UV resistant. It's a natural fiber entirely derived from agricultural waste, which supports the circular economy. 
",,"Agraloop BioFibre™ is often blended with other materials like cotton or lyocell, which may limit recyclability. ",,"Agraloop BioFibre™ is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Agraloop BioFibre™ is best washed in a gentle cycle with cold or warm water. Tumble dry on low or hang dry to erase wrinkles, conserve energy and preserve fabric strength. ","Agraloop uses a proprietary wet-processing technique to purify stems and leaves from oil-seed hemp and flax, CBD hemp, banana, and pineapple plants, among others. 

Agraloop BioFibre™ supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. ","Agraloop BioFibre™ is entirely generated from natural fibers derived from agricultural waste. Agraloop uses a proprietary wet-processing technique to purify stems and leaves from oil-seed hemp and flax, CBD hemp, banana, and pineapple plants, among others. 

Agraloop BioFibre™ supports the circular economy by utilizing agricultural leftovers that would otherwise go to waste. This waste would typically be burned or left to rot, which exacerbates methane pollution, air pollution, and crop disease. ",
Alpaca Fabric,Animal Based,Alpaca,Natural,Regenerative,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Aplaca is incredibly warm and durable. It's a biodegradable, renewable resource available in up to 20 naturally-ocuring colors, which eliminates the need for dyeing in many cases. ",,"Although shearing, the process of removing the wool from an alpaca, is not harmful to the animal, animal welfare is always a concern.",,"Alpaca is best washed by hand in cold water. Never put alpaca l in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Alpaca naturally repels dirt and can thus be spot cleaned with cold water. When in need of a good cleaning, hand washing in cold water is best. Never put alpaca l in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Alpaca is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand Alpaca garments can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet.","Like most animal-derived raw materials, waste generated from Alpaca for fiber production contributes to greenhouse gasses. However, free-range grazing animals and proper regenerative Alpaca farming supports bio-sequestration, increases biodiversity, reduces water pollution and improves soil health. Supply chain transparency is crucial to ensure animal well-being and regenerative farming practices. Alpaca naturally occurs in more than 20 color variances, which significantly reduces the need for dyeing.

Alpaca is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand Alpaca garments can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet.","https://cfda.com/resources/materials/detail/alpaca

https://goodonyou.eco/material-guide-ethical-wool/ 

https://iwto.org/sustainability/ 
 
https://www.thelaundress.com/clean-talk-blog/clean-and-preserve-precious-wool-cashmere-at-home.html 
"
"Nylon 6.6, Amni Soul Eco (Solvay Group, Brazil - contains data for yarn formation/spinning)",Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Biodegradable,Microplastic Pollutant,"Amni Soul Eco® nylon has excellent durability, stretch, and elasticity. Unlike conventional nylon, Amni Soul Eco® nylon can fully biodegrade. ",,"Although Amni Soul Eco® nylon can biodegrade, it's production is more resource-intensive than conventional nylon.  ",,Amni Soul Eco® nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric integrity.,Amni Soul Eco® nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric strength.,"Amni Soul Eco® nylon is a synthetic petroleum-based material derived from plastic. Its proprietary composition allows bacteria to convert its waste material to biomass and biogas within five years in a landfill. 
","Amni Soul Eco® nylon is a synthetic petroleum-based material derived from plastic. Its proprietary composition allows bacteria to convert its waste material to biomass and biogas within five years in a landfill. 
",
Aramid fabric,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Aramid has outstanding strength and heat durability, making it the fiber of choice for protective wear often worn in military and aerospace applications.",,"Aramid is a non-biodegradable, nonrenwable synthetic polymer plastic that's primarily derived from crude oil. ",,Aramid is best washed in a normal cycle in cold or warm water. Hang dry to conserve energy and preserve fabric strength.,,"The production of aramid materials uses extensive amounts of sulphuric acid, a substance that is harmful to plant and animal life when not sustainably managed. Although aramid is not biodegradable, it can be recycled when brought to the correct facility.","Aramids extreme durability makes it the material of choice for most fire fighters, first responders, military and aerospace personnel. The production of aramid materials uses extensive amounts of sulphuric acid, a substance that is harmful to plant and animal life when not sustainably managed. Although aramid is not biodegradable, it can be recycled when brought to the correct facility.",
Viscose/Rayon (Regenerated cellulose) from bamboo,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Bamboo Viscose is soft, absorbent, and antimicrobial. It's a semi-synthetic fiber that begins as cellulose derived from renewable bamboo wood pulp.",,"The production process of Bamboo Viscose involves toxic chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ","The production process of Bamboo Viscose involves toxic chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.","Bamboo Viscose is a delicate fabric, so hand washing is cold or warm water best. Never put Bamboo Viscose in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ",,"Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains.  ","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Viscose from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ",
"Nylon 4.10, bio-based, for textile production",Plant Based,Castor Beans (Oil),Synthetic,Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Bio-based nylon has excellent durability, stretch, and elasticity. It's more lightweight and durable than polyester and acrylic.",,"Bio-based nylon is derived from a renewable resource, but it's still a non-biodegradable synthetic polymer that contributes to microplastic pollution. ","Bio-based nylon is a non-biodegradable synthetic polymer plastic that's primarily derived from castor oil. One bio-based nylon garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",Bio-based nylon is best washed in a gentle cycle with cold water to preserve fabric strength. Hang dry to conserve energy and preserve fabric integrity.,Bio-based nylon doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric integrity.,,"Bio-based nylon is derived from castor oil instead of fossil fuels, which means it relies on a renewable resource. However, bio-based plastic does not biodegrade, and still contributes to microplastic water pollution when washed. ",
Carbon fiber fabric,Synthetic Carbon & Plastic Derivative,"Carbon, Polymer Plastic",Synthetic,Non-Renewable,Non-Recyclable,Not Biodegradable,Microplastic Pollutant,"Carbon fiber is exceptionally strong, durable, heat resistant, and lightweight.",,"Carbon is blended with non-biodegradable, nonrenewable synthetic polymer plastics for textile use, which are derived from crude oil. ","Carbon is blended with non-biodegradable, nonrenewable synthetic polymer plastics for textile use, which are derived from crude oil. Carbon fiber can be pretty rigid and uncomfortable, so it's usually blended with other materials to form textiles appropriate for garment use; this makes it difficult to recycle. ",Carbon fiber is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,,"Carbon fiber fabric is a textile innovation borrowed from the military and aerospace industries. Carbon fiber is usually woven with other natural or synthetic fibers to increase the strength, durability, and heat resistance of garments.",,
Cashmere,Animal Based,Cashmere Goat,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Cashmere is a biodegradable, renewable material that's incredibly soft, insulating, and durable. ",,"Although cashmere goats naturally shed their coats in the warmer months, animal welfare is always a concern. ",,"Cashmere is best washed by hand in cold water. Never put cashmere in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Cashmere is soft and lustrous. Hand washing in cold water is best. If opting for machine washing, make sure it's on a delicate cycle. Never put cashmere in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Cashmere is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand cashmere can help you stay on budget, elxtend garment life, and ensure your purchase doesn't create further harm to our planet.","Like most animal-derived raw materials, waste generated from goats used in cashmere production contributes to greenhouse gasses. However, free-range grazing animals and proper regenerative wool farming supports bio-sequestration, increases biodiversity, reduces water pollution and improves soil health. 

Inexpensive cashmere often comes from unsustainable sources where overgrazing can cause desertification, so make sure to purchase responsibly. Supply chain transparency is crucial to ensure animal well-being and regenerative farming practices. 

Cashmere is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand cashmere can help you stay on budget, elxtend garment life, and ensure your purchase doesn't create further harm to our planet.","https://www.thelaundress.com/clean-talk-blog/clean-and-preserve-precious-wool-cashmere-at-home.html 

https://cfda.com/resources/materials/detail/cashmere 

https://goodonyou.eco/material-guide-how-ethical-is-cashmere/ 



"
