high_level,low_level,part,component_significance,component_value_percentage
shirts,T-Shirts,Padding,Tertiary,0%
shirts,T-Shirts,Cup Lining,Tertiary,0%
shirts,T-Shirts,Shell,Main,100%
shirts,T-Shirts,Net,Tertiary,5%
shirts,T-Shirts,Upper,Secondary,50%
shirts,T-Shirts,Lining,Tertiary,20%
shirts,T-Shirts,Cuff,Tertiary,5%
shirts,T-Shirts,Frill,Tertiary,5%
shirts,T-Shirts,Panels,Tertiary,20%
shirts,T-Shirts,Coating,Tertiary,5%
shirts,T-Shirts,Cup Lace,Tertiary,0%
shirts,T-Shirts,Lace,Tertiary,10%
shirts,T-Shirts,Elastic Section,Tertiary,5%
shirts,T-Shirts,Pocket Lining,Tertiary,5%
shirts,T-Shirts,Mesh,Tertiary,5%
shirts,T-Shirts,Sleeve,Tertiary,15%
shirts,T-Shirts,Hood Lining,Tertiary,0%
shirts,T-Shirts,Embroidery,Tertiary,10%
shirts,T-Shirts,Front,Secondary,50%
shirts,T-Shirts,Sole,Tertiary,0%
shirts,T-Shirts,Collar,Tertiary,10%
shirts,T-Shirts,Wing Lining,Tertiary,0%
shirts,T-Shirts,Details,Tertiary,5%
shirts,T-Shirts,Lower,Secondary,50%
shirts,T-Shirts,Lining and Insole,Tertiary,20%
shirts,T-Shirts,Other,Tertiary,5%
shirts,T-Shirts,Back,Secondary,50%
shirts,T-Shirts,Neck Lining,Tertiary,5%
shirts,T-Shirts,Gusset Lining,Tertiary,0%
shirts,T-Shirts,Wing,Tertiary,0%
shirts,T-Shirts,All,Main,100%
shirts,T-Shirts,Reverse,Secondary,50%
shirts,T-Shirts,Strap,Tertiary,0%
shirts,T-Shirts,Obverse,Secondary,50%
shirts,T-Shirts,Secondary fabric,Tertiary,10%
shirts,Tank Tops,Padding,Tertiary,0%
shirts,Tank Tops,Cup Lining,Tertiary,0%
shirts,Tank Tops,Shell,Main,100%
shirts,Tank Tops,Net,Tertiary,5%
shirts,Tank Tops,Upper,Secondary,50%
shirts,Tank Tops,Lining,Tertiary,20%
shirts,Tank Tops,Cuff,Tertiary,5%
shirts,Tank Tops,Frill,Tertiary,5%
