,Material,GlobalWarming,Eutrophication,WaterScarcity,AbioticResourceDepletion,Chemistry,Overall,Type,Score_GlobWarm,Score_Eutrophication,Score_Water,Score_ResourceDepletion,Score_Chem,Score_Overall
0,"Acetate, Triacetate fabric",18.1,12.9,18.0,20.3,10.3,79.6,Textiles,1.8,2.3,1.3,1.4,1.8,1.7
1,Acrylic fabric,14.3,6.32,1.36,17.3,9.44,48.7,Textiles,2.2,3.5,3.4,1.7,2.1,2.6
2,Alpaca Fabric,77.8,222.0,1.24,9.22,9.29,320.0,Textiles,1.1,1.1,3.7,3.5,2.7,2.4
3,Aramid fabric,9.76,2.46,0.605,13.0,7.13,32.9,Textiles,3.3,4.6,4.3,2.1,3.9,3.7
4,Carbon fiber fabric,18.7,16.6,2.06,23.1,4.04,64.5,Textiles,1.5,1.9,2.7,1.1,4.7,2.4
5,"Viscose/Rayon (generic), regenerated cellulose from wood pulp",21.2,20.3,4.48,21.5,5.08,72.56,Textiles,1.4,1.5,1.9,1.3,4.5,2.1
6,Cotton fabric,8.8,17.6,57.1,6.69,10.9,101.0,Textiles,3.7,1.8,1.1,4.3,1.3,2.4
7,"Cotton fiber, organic",7.6,9.4,6.9,6.1,8.3,38.3,Textiles,4.2,2.9,1.4,4.5,3.2,3.2
8,"Cotton fiber, recycled",6.78,5.77,2.13,5.9,8.3,28.88,Textiles,4.3,3.7,2.6,4.6,3.2,3.7
9,Elastane/Spandex  fabric,8.63,6.72,5.57,9.22,4.94,35.1,Textiles,3.9,3.4,1.7,3.5,4.6,3.4
10,Flax fiber fabric,13.6,52.3,3.43,12.0,11.1,92.5,Textiles,2.6,1.4,2.5,2.7,1.1,2.1
11,Glass fiber fabric,4.34,1.56,0.40299999999999997,3.81,2.92,13.0,Textiles,4.7,4.9,4.9,4.7,4.9,4.8
12,Hemp fiber fabric,14.0,59.8,4.23,12.2,9.77,100.0,Textiles,2.4,1.3,2.1,2.6,1.9,2.1
13,Jute fiber fabric,11.1,18.9,6.82,9.91,11.1,57.9,Textiles,2.7,1.7,1.5,3.0,1.1,2.0
14,Lyocell fabric,14.0,11.4,3.99,11.2,9.4,50.0,Textiles,2.4,2.7,2.3,2.9,2.3,2.5
15,Modal fabric,18.4,12.9,4.0,15.5,9.4,60.2,Textiles,1.7,2.3,2.2,1.8,2.3,2.0
16,Nylon fabric,15.3,4.67,0.937,18.3,9.29,36.2,Textiles,1.9,3.8,4.1,1.5,2.7,2.8
17,"Nylon fabric, recycled",8.38,2.75,1.15,9.68,10.4,32.36,Textiles,4.1,4.2,3.8,3.3,1.6,3.4
