id,clothing_id,material_id,part,percentage
186422792,20210630hm0,tex_cott_6,Shell,96%
735107864,20210630hm0,tex_elas_10,Shell,4%
121845571,20210630hm0,tex_cott_6,Shell,96%
695983975,20210630hm0,tex_elas_10,Shell,4%
749547351,20210630hm0,tex_cott_6,Shell,100%
113311823,20210630hm0,tex_cott_6,Shell,100%
407060400,20210630hm1,tex_cott_6,All,99%
638252938,20210630hm1,tex_elas_10,All,1%
20267358,20210630hm2,tex_cott_6,Shell,96%
673068980,20210630hm2,tex_elas_10,Shell,4%
522135394,20210630hm2,tex_cott_6,Shell,96%
800870453,20210630hm2,tex_elas_10,Shell,4%
733361730,20210630hm2,tex_cott_6,Shell,100%
902405858,20210630hm2,tex_cott_6,Shell,100%
325785102,20210630hm3,tex_cott_6,All,67%
870761250,20210630hm3,tex_poly_25,All,33%
587150321,20210630hm4,tex_cott_6,All,95%
516008688,20210630hm4,tex_elas_10,All,5%
322523416,20210630hm5,tex_cott_6,Shell,96%
273507983,20210630hm5,tex_elas_10,Shell,4%
606973156,20210630hm5,tex_cott_6,Shell,96%
533915499,20210630hm5,tex_elas_10,Shell,4%
898516284,20210630hm5,tex_cott_6,Shell,100%
100277818,20210630hm5,tex_cott_6,Shell,100%
795978640,20210630hm7,tex_cott_6,Lower,100%
267560443,20210630hm7,tex_cott_6,Upper,100%
465475209,20210630hm8,tex_poly_25,All,100%
24984669,20210630hm9,tex_poly_25,All,73%
943593558,20210630hm9,tex_cott_6,All,24%
246630786,20210630hm9,tex_elas_10,All,3%
981931675,20210630hm9,tex_cott_6,Shell,74%
859785068,20210630hm9,tex_poly_25,Shell,23%
264927108,20210630hm9,tex_elas_10,Shell,3%
543975839,20210630hm10,tex_cott_6,All,95%
738481025,20210630hm10,tex_elas_10,All,5%
339250317,20210630hm12,tex_cott_6,All,95%
284433141,20210630hm12,tex_elas_10,All,5%
263509715,20210630hm13,tex_cott_6,Shell,95%
103395940,20210630hm13,tex_elas_10,Shell,5%
568583172,20210630hm13,tex_cott_6,Lining,100%
780413531,20210630hm14,tex_poly_25,All,100%
856240059,20210630hm15,tex_cott_6,All,100%
816171843,20210630hm16,tex_cott_6,All,100%
609734791,20210630hm17,tex_visc_36,All,40%
290551857,20210630hm17,tex_acry_1,All,40%
730246575,20210630hm17,tex_nylo_20,All,20%
369848001,20210630hm18,tex_cott_6,Shell,62%
209922365,20210630hm18,tex_poly_25,Shell,38%
753382158,20210630hm19,tex_nylo_20,All,88%
295259831,20210630hm19,tex_elas_10,All,12%
527559623,20210630hm21,tex_poly_25,All,79%
767185659,20210630hm21,tex_elas_10,All,21%
24431952,20210630hm23,tex_cott_6,All,95%
139902978,20210630hm23,tex_elas_10,All,5%
10421113,20210630hm24,tex_acry_1,All,63%
630035049,20210630hm24,tex_nylo_20,All,32%
196119006,20210630hm24,tex_wool_40,All,5%
610166163,20210630hm25,tex_cott_6,All,100%
65519586,20210630hm26,tex_visc_36,All,100%
349562943,20210630hm27,tex_cott_6,All,95%
424529077,20210630hm27,tex_elas_10,All,5%
984363291,20210630hm28,tex_cott_6,All,100%
445837112,20210630hm29,tex_cott_6,Shell,96%
585915630,20210630hm29,tex_elas_10,Shell,4%
451605873,20210630hm29,tex_cott_6,Shell,96%
818040734,20210630hm29,tex_elas_10,Shell,4%
566692784,20210630hm29,tex_cott_6,Shell,100%
664677679,20210630hm29,tex_cott_6,Shell,100%
156663463,20210630hm30,tex_cott_6,All,60%
825724781,20210630hm30,tex_poly_25,All,40%
603063078,20210630hm31,tex_poly_25,All,98%
129378476,20210630hm31,tex_elas_10,All,2%
991797522,20210630hm32,tex_cott_6,All,97%
111691968,20210630hm32,tex_elas_10,All,3%
257448888,20210630hm33,tex_cott_6,All,80%
218864546,20210630hm33,tex_poly_25,All,20%
603640245,20210630hm34,tex_poly_25,All,69%
562955978,20210630hm34,tex_visc_36,All,30%
330289425,20210630hm34,tex_elas_10,All,1%
125695560,20210630hm35,tex_cott_6,Shell,96%
888529514,20210630hm35,tex_elas_10,Shell,4%
559135774,20210630hm35,tex_cott_6,Shell,96%
755146769,20210630hm35,tex_elas_10,Shell,4%
351509557,20210630hm35,tex_cott_6,Shell,100%
508106820,20210630hm35,tex_cott_6,Shell,100%
87785394,20210630hm36,tex_cott_6,Hood Lining,60%
485097960,20210630hm36,tex_poly_25,Hood Lining,40%
902057307,20210630hm36,tex_cott_6,Shell,60%
321550811,20210630hm36,tex_poly_25,Shell,40%
191920083,20210630hm37,tex_poly_25,Lining,100%
322529973,20210630hm37,tex_poly_25,Shell,100%
82099022,20210630hm38,tex_cott_6,Shell,96%
369933312,20210630hm38,tex_elas_10,Shell,4%
2985997,20210630hm38,tex_cott_6,Shell,96%
323818681,20210630hm38,tex_elas_10,Shell,4%
154170828,20210630hm38,tex_cott_6,Shell,100%
48965994,20210630hm38,tex_cott_6,Shell,100%
439783555,20210630hm39,tex_cott_6,All,100%
207964742,20210630hm40,tex_poly_25,Shell,92%
966395523,20210630hm40,tex_elas_10,Shell,8%
