Sub-Category,,,,,,,,,,,,,,,,,,
Pajamas,pajamas?,,,,,,,,,,,,,,,,,
Jackets,leather jackets?,shackets?,windbreakers?,bombers?,snowsuit,jackets?,,,,,,,,,,,,
Tank Tops,tank,tank top,sleeveless tank,vest top,,,,,,,,,,,,,,
Polo Shirts,polo,polo shirt,,,,,,,,,,,,,,,,
Bustier Tops,bustier,,,,,,,,,,,,,,,,,
Crop Tops,crop top,,,,,,,,,,,,,,,,,
Short Sleeve Buttondowns,camp shirt,short sleeve blouse,short sleeve shirt,short sleeve dress shirt,,,,,,,,,,,,,,
Cardigans,cardigan,cardi,,,,,,,,,,,,,,,,
Scarves,scarf?v?e?s?,headcover,,,,,,,,,,,,,,,,
Hoodies,hoody,hoodies?,,,,,,,,,,,,,,,,
Sweatshirts,sweatshirts?,crewneck ?-?sweatshirt,,,,,,,,,,,,,,,,
One-Piece,swimsuits?,swim set,,,,,,,,,,,,,,,,
Jewelry,rings?,bracelets?,necklaces?,braces,earrings?,pendant,chains?,anklets?,wedding band,wristlet,brooch,cuff,pearls,tiara,headpiece,watch,pin$,choker
Rompers/Jumpsuits,romper,tracksuits?,jumpsuits?,salopettes?,sets?$,boilersuits?,overalls,,,,,,,,,,,
Skirts,sk[io]rts?,,,,,,,,,,,,,,,,,
Leggings,[jl]eggings?,leotards?,,,,,,,,,,,,,,,,
Cargo/Carpenter Pants,cargos? ,cargo pants? ,carpenters?,,,,,,,,,,,,,,,
Dress Pants,trousers?,slacks?,,,,,,,,,,,,,,,,
Jeans,jeans,denim pants,,,,,,,,,,,,,,,,
Casual Pants,pants?,culottes?,treggings,flares?,chinos?,knit bottoms?,,,,,,,,,,,,
Short Dresses,chemise,t-shirt dress,,,,,,,,,,,,,,,,
Blazers,blazers?,,,,,,,,,,,,,,,,,
Coats,coats?,trench,dusters?,fur coat,,,,,,,,,,,,,,
Bra,bras?$,bras? top,bralettes?,torsolette,bra,,,,,,,,,,,,,
Body Suit,bodysuits?,unitards?,,,,,,,,,,,,,,,,
Underwear,briefs?,underwear,thong,hipsters?,boxers?,bloomers?,,,,,,,,,,,,
Camisole,camisoles?,cami,,,,,,,,,,,,,,,,
Corset,corsets?,basque,,,,,,,,,,,,,,,,
Bikini Top,bikinis? ?-?top,,,,,,,,,,,,,,,,,
Bikini Bottom,bikinis? ?-?bottoms?,bikinis?,,,,,,,,,,,,,,,,
Shorts,shorts,bottoms?,clamdiggers,bikers,sweat short,,,,,,,,,,,,,
Joggers,joggers?,,,,,,,,,,,,,,,,,
Trunks,trunks?,,,,,,,,,,,,,,,,,
Wraps/Cover Ups,sarongs?,,,,,,,,,,,,,,,,,
Brimmed Hats,hats?,fedora,balaclava,turban,bonnets?,,,,,,,,,,,,,
Beanies,beanies?,,,,,,,,,,,,,,,,,
Berets,berets?,,,,,,,,,,,,,,,,,
Backpack,backpacks?,,,,,,,,,,,,,,,,,
Travel Bag,carryalls?,travel\sbag,,,,,,,,,,,,,,,,
Crossbody Bag,crossbody\sbag,,,,,,,,,,,,,,,,,
Shoulder Bag,shoulder\sbag,,,,,,,,,,,,,,,,,
Mini Bag,mini\sbag,,,,,,,,,,,,,,,,,
Bucket Bag,bucket\sbag,,,,,,,,,,,,,,,,,
Handbag,bags?,purse,handbags?,clutche?s?,fanny,clutch,satchel,,,,,,,,,,,
Tote Bag,tote,tote\s?bag,,,,,,,,,,,,,,,,
Sneakers,trainers?,sneakers?,plimsolls,runners?,running shoes?,,,,,,,,,,,,,
Boots,boots?,wellies,hikers?,booties?,,,,,,,,,,,,,,
Sandals,sandals?,mules?,sliders?,flops?,gladiators?,,,,,,,,,,,,,
Wedge Heels,wedges?,flatforms?,espadrille,,,,,,,,,,,,,,,
Heels,ballet pumps? ,heels?,pumps?,pumps,platforms?,,,,,,,,,,,,,
Flat Shoes,shoes?,loafers?,flats?,espadrilles,slipp?ers?,brogues?,slides?,moccasins?,mary janes?,havaianas?,high-?\s?tops?,flip-?\s?flops?,open toes?,,,,,
Tights/Socks,tights,socks,,,,,,,,,,,,,,,,
Clog Shoes,clogs?,clog\s?shoes,,,,,,,,,,,,,,,,
Casual Dresses,casual dresse?s?,,,,,,,,,,,,,,,,,
Formal Dresses,formal dresse?s?,,,,,,,,,,,,,,,,,
Office Dresses,office dresse?s?,,,,,,,,,,,,,,,,,
Night Out Dresses,cocktail dresse?s?,night out dresse?s?,,,,,,,,,,,,,,,,
Midi Dresses,dresse?s?$,slip\s?dresse?s?,midaxi,lace\s?slip,dresse?s?,two piece,,,,,,,,,,,,
Filled Outerwear,parka$,gilets,vest$,vest,outerwear,,,,,,,,,,,,,
Wallets,wallets?,,,,,,,,,,,,,,,,,
Suspenders,suspenders?,,,,,,,,,,,,,,,,,
Gloves,gloves?,mittens?,,,,,,,,,,,,,,,,
Bandeau Tops,bandeau,,,,,,,,,,,,,,,,,
T-Shirts,t-?shirts?,tees?,tops?,,,,,,,,,,,,,,,
Long Sleeve Buttondowns,shirts?,dress shirt,collar top,tunics?,,,,,,,,,,,,,,
Sleeveless Buttondowns,sleeveless shirt,sleveless blouse,sleeveless,,,,,,,,,,,,,,,
Sweaters,jumpers,sweaters?,pullover,arms?\s?warmers?,turtleneck,knits?,skivvy,skivvies,,,,,,,,,,
Glasses/Sunglasses,glasses,,,,,,,,,,,,,,,,,
Hair Accessories,headbands?,scrunchies?,bands?,hair,clips?,ribbon sash,,,,,,,,,,,,
Nightgown,nightdresse?s?,baby\s?doll,nightshirts?,nightgown,,,,,,,,,,,,,,
Blouse,blouse,,,,,,,,,,,,,,,,,
Caps,caps?,visors?,,,,,,,,,,,,,,,,
Fleece,fleece,,,,,,,,,,,,,,,,,
Robe,robes?,bathrobe,,,,,,,,,,,,,,,,
Ponchos,ponchos?,,,,,,,,,,,,,,,,,
Maxi Dresses,[kc]aftans?,kimonos?,maxi dress,,,,,,,,,,,,,,,
Crawler,crawler,,,,,,,,,,,,,,,,,
Business Suit,business suit,,,,,,,,,,,,,,,,,
Sports Suit,sports suits?,Sweatsuit,,,,,,,,,,,,,,,,
Belts,belts?,sash,,,,,,,,,,,,,,,,
